School Number,Division Name,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans
540,Accomack County  ,Arcadia High,5,13,1,2,12,5,1,5,6,6,0,1,84,68,,7,3,,162,2,148,6,4,1,1
70,Accomack County  ,Nandua High,4,19,2,7,7,22,0,11,4,22,0,5,71,73,8,,,,152,49,47,7,7,34,8
880,Albemarle County  ,Albemarle High,12,40,0,7,14,11,2,16,3,10,27,4,152,293,27,1,1,,474,93,260,30,47,8,36
1052,Albemarle County  ,Monticello High,10,30,7,3,13,8,0,11,0,20,22,4,109,163,1,,3,,276,72,124,4,68,6,2
890,Albemarle County  ,Murray High,5,23,11,,0,0,0,0,0,13,,6,18,3,,,,,21,10,3,2,6,,
140,Albemarle County  ,Western Albemarle High,12,54,22,8,27,17,0,17,4,22,19,6,63,223,5,,,3,294,35,205,30,23,1,
310,Alleghany County  ,Alleghany High,4,10,7,5,17,9,0,14,0,14,5,3,74,74,7,,3,,158,65,42,9,40,2,
10,Amelia County  ,Amelia County High,8,29,5,16,10,6,11,1,4,0,8,6,69,64,7,,,,140,32,56,19,26,7,
750,Amherst County  ,Amherst County High,22,,0,3,0,1,10,6,12,18,3,7,144,138,7,,2,,291,79,102,8,69,17,16
260,Appomattox County  ,Appomattox County High,13,0,8,26,1,17,15,9,30,4,0,0,70,72,4,,,3,149,33,66,6,40,4,
618,Arlington County  ,Arlington Community High,0,0,0,17,40,,,,8,27,2,6,55,5,,,1,,61,29,7,8,16,1,
450,Arlington County  ,Wakefield High,21,3,4,17,6,17,23,3,15,45,8,10,228,261,20,,,1,510,132,270,10,35,14,49
80,Arlington County  ,Washington-Liberty High,7,6,1,17,15,27,36,7,16,48,11,11,162,407,7,,,,576,91,410,10,26,7,32
330,Arlington County  ,Yorktown High,18,10,7,18,22,33,25,9,2,19,14,22,118,419,9,,,,546,59,453,11,16,3,4
660,Augusta County  ,Buffalo Gap High,44,34,23,13,4,13,0,12,10,36,20,3,72,49,1,,,,122,54,28,12,27,1,
670,Augusta County  ,Fort Defiance High,,24,1,18,15,19,37,17,4,23,7,7,83,82,8,1,3,,177,44,52,6,52,13,10
680,Augusta County  ,Riverheads High,,18,3,8,14,12,,9,9,26,12,0,65,50,1,,,2,118,14,20,6,4,4,70
730,Augusta County  ,Stuarts Draft High,,27,2,21,14,18,20,8,7,32,15,5,81,72,2,,,2,157,46,45,,42,5,19
720,Augusta County  ,Wilson Memorial High,49,45,5,39,14,22,18,6,5,6,9,23,78,96,15,,,2,191,10,20,9,8,3,141
140,Bath County  ,Bath County High,0,0,0,0,8,0,0,9,13,20,,2,9,18,3,,,,30,5,16,,8,1,
1212,Bedford County  ,Jefferson Forest High,9,41,0,7,0,2,4,30,3,15,4,0,100,216,13,,3,2,334,45,232,9,41,5,2
